date,orders,new_orders,new_customers,total_revenue,gross_profit,COGS
2024-01-01,200,120,100,8000,4000,4000
2024-01-02,205,123,102,8100,4050,4050
2024-01-03,198,118,98,7920,3960,3960
2024-01-04,210,126,105,8200,4100,4100
2024-01-05,206,124,103,8120,4060,4060
2024-01-06,202,122,101,8040,4020,4020
2024-01-07,199,119,99,7960,3980,3980
2024-01-08,208,125,104,8160,4080,4080
2024-01-09,212,127,106,8240,4120,4120
2024-01-10,201,120,100,8040,4020,4020
2024-01-11,203,121,101,8080,4040,4040
2024-01-12,197,118,98,7920,3960,3960
2024-01-13,192,115,95,7800,3900,3900
2024-01-14,214,129,107,8280,4140,4140
2024-01-15,207,124,103,8140,4070,4070
2024-01-16,204,123,102,8080,4040,4040
2024-01-17,199,119,99,7960,3980,3980
2024-01-18,200,120,100,8000,4000,4000
2024-01-19,202,121,101,8040,4020,4020
2024-01-20,196,117,97,7880,3940,3940
2024-01-21,211,126,105,8220,4110,4110
2024-01-22,205,122,102,8100,4050,4050
2024-01-23,201,121,101,8040,4020,4020
2024-01-24,199,119,99,7960,3980,3980
2024-01-25,203,121,101,8080,4040,4040
2024-01-26,209,125,104,8180,4090,4090
2024-01-27,210,126,105,8200,4100,4100
2024-01-28,197,118,98,7920,3960,3960
2024-01-29,202,121,101,8040,4020,4020
2024-01-30,200,120,100,8000,4000,4000
