date,tactic,state,campaign,impressions,clicks,spend,attributed_revenue
2024-01-01,prospecting,CA,FB_Campaign_A,10000,500,600,900
2024-01-02,prospecting,CA,FB_Campaign_A,10200,510,605,910
2024-01-03,prospecting,CA,FB_Campaign_A,9800,490,590,880
2024-01-04,prospecting,CA,FB_Campaign_A,10500,520,615,920
2024-01-05,prospecting,CA,FB_Campaign_A,10300,515,610,915
2024-01-06,prospecting,CA,FB_Campaign_A,10100,505,600,905
2024-01-07,prospecting,CA,FB_Campaign_A,9900,495,595,890
2024-01-08,prospecting,CA,FB_Campaign_A,10400,518,612,918
2024-01-09,prospecting,CA,FB_Campaign_A,10600,525,620,930
2024-01-10,prospecting,CA,FB_Campaign_A,10050,502,602,902
2024-01-11,prospecting,CA,FB_Campaign_A,10150,507,604,906
2024-01-12,prospecting,CA,FB_Campaign_A,9950,498,598,892
2024-01-13,prospecting,CA,FB_Campaign_A,9700,485,585,870
2024-01-14,prospecting,CA,FB_Campaign_A,10700,530,625,935
2024-01-15,prospecting,CA,FB_Campaign_A,10350,517,611,916
2024-01-16,prospecting,CA,FB_Campaign_A,10250,512,607,912
2024-01-17,prospecting,CA,FB_Campaign_A,9900,495,595,890
2024-01-18,prospecting,CA,FB_Campaign_A,10000,500,600,900
2024-01-19,prospecting,CA,FB_Campaign_A,10100,505,603,905
2024-01-20,prospecting,CA,FB_Campaign_A,9800,490,590,880
2024-01-21,prospecting,CA,FB_Campaign_A,10550,522,618,922
2024-01-22,prospecting,CA,FB_Campaign_A,10220,511,606,911
2024-01-23,prospecting,CA,FB_Campaign_A,10080,504,601,901
2024-01-24,prospecting,CA,FB_Campaign_A,9900,495,595,890
2024-01-25,prospecting,CA,FB_Campaign_A,10120,506,604,906
2024-01-26,prospecting,CA,FB_Campaign_A,10380,519,613,917
2024-01-27,prospecting,CA,FB_Campaign_A,10450,521,616,921
2024-01-28,prospecting,CA,FB_Campaign_A,9950,498,598,892
2024-01-29,prospecting,CA,FB_Campaign_A,10110,505,603,905
2024-01-30,prospecting,CA,FB_Campaign_A,10020,501,601,901
