date,tactic,state,campaign,impressions,clicks,spend,attributed_revenue
2024-01-01,prospecting,CA,GG_Campaign_A,12000,600,700,1100
2024-01-02,prospecting,CA,GG_Campaign_A,12100,605,705,1110
2024-01-03,prospecting,CA,GG_Campaign_A,11800,590,695,1080
2024-01-04,prospecting,CA,GG_Campaign_A,12300,615,710,1125
2024-01-05,prospecting,CA,GG_Campaign_A,11950,598,702,1095
2024-01-06,prospecting,CA,GG_Campaign_A,11750,588,690,1075
2024-01-07,prospecting,CA,GG_Campaign_A,12200,610,708,1118
2024-01-08,prospecting,CA,GG_Campaign_A,12400,620,715,1135
2024-01-09,prospecting,CA,GG_Campaign_A,12500,625,720,1140
2024-01-10,prospecting,CA,GG_Campaign_A,12150,607,706,1112
2024-01-11,prospecting,CA,GG_Campaign_A,12050,602,703,1105
2024-01-12,prospecting,CA,GG_Campaign_A,11900,595,699,1092
2024-01-13,prospecting,CA,GG_Campaign_A,11650,583,688,1068
2024-01-14,prospecting,CA,GG_Campaign_A,12600,630,725,1148
2024-01-15,prospecting,CA,GG_Campaign_A,12250,612,709,1119
2024-01-16,prospecting,CA,GG_Campaign_A,12180,609,707,1115
2024-01-17,prospecting,CA,GG_Campaign_A,11850,592,696,1085
2024-01-18,prospecting,CA,GG_Campaign_A,12000,600,700,1100
2024-01-19,prospecting,CA,GG_Campaign_A,12100,605,703,1110
2024-01-20,prospecting,CA,GG_Campaign_A,11780,589,694,1078
2024-01-21,prospecting,CA,GG_Campaign_A,12350,617,711,1127
2024-01-22,prospecting,CA,GG_Campaign_A,12080,604,706,1108
2024-01-23,prospecting,CA,GG_Campaign_A,11980,599,701,1098
2024-01-24,prospecting,CA,GG_Campaign_A,11800,590,695,1080
2024-01-25,prospecting,CA,GG_Campaign_A,12120,606,707,1111
2024-01-26,prospecting,CA,GG_Campaign_A,12380,619,714,1132
2024-01-27,prospecting,CA,GG_Campaign_A,12450,622,718,1138
2024-01-28,prospecting,CA,GG_Campaign_A,11950,598,702,1095
2024-01-29,prospecting,CA,GG_Campaign_A,12110,605,705,1110
2024-01-30,prospecting,CA,GG_Campaign_A,12020,601,704,1104
