date,tactic,state,campaign,impressions,clicks,spend,attributed_revenue
2024-01-01,retargeting,CA,TT_Campaign_A,8000,400,300,500
2024-01-02,retargeting,CA,TT_Campaign_A,8200,410,305,505
2024-01-03,retargeting,CA,TT_Campaign_A,7800,390,295,490
2024-01-04,retargeting,CA,TT_Campaign_A,8500,425,310,510
2024-01-05,retargeting,CA,TT_Campaign_A,8300,415,305,505
2024-01-06,retargeting,CA,TT_Campaign_A,8100,405,300,500
2024-01-07,retargeting,CA,TT_Campaign_A,7900,395,298,495
2024-01-08,retargeting,CA,TT_Campaign_A,8400,420,308,508
2024-01-09,retargeting,CA,TT_Campaign_A,8600,430,312,512
2024-01-10,retargeting,CA,TT_Campaign_A,8050,403,302,502
2024-01-11,retargeting,CA,TT_Campaign_A,8150,408,304,504
2024-01-12,retargeting,CA,TT_Campaign_A,7950,398,299,496
2024-01-13,retargeting,CA,TT_Campaign_A,7700,385,292,485
2024-01-14,retargeting,CA,TT_Campaign_A,8700,435,315,515
2024-01-15,retargeting,CA,TT_Campaign_A,8350,417,307,507
2024-01-16,retargeting,CA,TT_Campaign_A,8250,412,306,506
2024-01-17,retargeting,CA,TT_Campaign_A,7900,395,298,495
2024-01-18,retargeting,CA,TT_Campaign_A,8000,400,300,500
2024-01-19,retargeting,CA,TT_Campaign_A,8100,405,301,501
2024-01-20,retargeting,CA,TT_Campaign_A,7800,390,295,490
2024-01-21,retargeting,CA,TT_Campaign_A,8550,428,311,511
2024-01-22,retargeting,CA,TT_Campaign_A,8220,411,305,505
2024-01-23,retargeting,CA,TT_Campaign_A,8080,404,302,502
2024-01-24,retargeting,CA,TT_Campaign_A,7900,395,298,495
2024-01-25,retargeting,CA,TT_Campaign_A,8120,406,304,504
2024-01-26,retargeting,CA,TT_Campaign_A,8380,419,309,509
2024-01-27,retargeting,CA,TT_Campaign_A,8450,423,310,510
2024-01-28,retargeting,CA,TT_Campaign_A,7950,398,299,496
2024-01-29,retargeting,CA,TT_Campaign_A,8110,405,301,501
2024-01-30,retargeting,CA,TT_Campaign_A,8020,401,300,500
